"Code","Sample_Plate","Sample_Well","Treatment","Ant_status","DEF","EF1","HYM","N_reads_obtained"
"33-H2","11","H10","control.small","untreated nurse",0,1,1,2
"46-A12","11","A2","control.small","untreated forager",0,1,1,2
"46-B11","11","B1","control.small","untreated forager",1,1,1,3
"46-C11","11","C1","control.small","untreated forager",0,1,1,2
"46-C12","11","C2","control.small","untreated nurse",1,1,1,3
"46-D11","11","D1","control.small","untreated nurse",1,1,0,2
"46-F11","11","F1","control.small","untreated forager",0,1,1,2
"46-G10","11","G4","control.small","untreated forager",0,1,1,2
"46-G11","11","G1","control.small","untreated forager",1,1,1,3
"47-A1","11","A3","control.small","untreated forager",0,1,1,2
"47-A2","11","A4","control.small","untreated nurse",0,1,1,2
"47-B1","11","B3","control.small","untreated nurse",0,1,1,2
"47-C1","11","C3","control.small","untreated forager",0,1,1,2
"47-E1","11","E3","control.small","untreated forager",1,1,0,2
"47-G1","11","G3","control.small","untreated forager",1,1,0,2
"49-A12","6","A12","control.big","untreated forager",0,1,1,2
"49-A8","6","A8","control.big","untreated forager",0,1,1,2
"49-B10","6","B10","control.big","untreated nurse",1,1,0,2
"49-B11","6","B11","control.big","untreated forager",1,1,0,2
"49-B7","6","B7","control.big","untreated forager",0,1,1,2
"49-B9","6","B9","control.big","treated nurse",0,1,1,2
"49-C10","6","C10","control.big","untreated forager",1,1,0,2
"49-C12","6","C12","control.big","treated nurse",1,1,0,2
"49-C7","6","C7","control.big","untreated forager",1,1,0,2
"49-D12","6","D12","control.big","untreated forager",1,1,0,2
"49-D9","6","D9","control.big","untreated nurse",1,1,0,2
"49-E11","6","E11","control.big","untreated forager",1,1,0,2
"49-E12","6","E12","control.big","treated nurse",1,1,0,2
"49-E6","6","E6","control.big","untreated nurse",0,1,1,2
"49-E9","6","E9","control.big","untreated forager",1,1,1,3
"49-F11","6","F11","control.big","untreated nurse",1,1,0,2
"49-F8","6","F8","control.big","untreated forager",1,1,0,2
"49-G8","6","G8","control.big","untreated forager",1,1,0,2
"49-H11","6","H11","control.big","untreated nurse",1,1,1,3
"49-H7","6","H7","control.big","untreated forager",1,1,1,3
"50-A1","5","A1","control.big","untreated nurse",0,1,1,2
"50-A2","5","A2","control.big","untreated nurse",0,1,1,2
"50-A3","5","A3","control.big","untreated forager",0,1,1,2
"50-A4","5","A4","control.big","treated nurse",0,1,1,2
"50-A6","5","A6","control.big","treated nurse",0,1,1,2
"50-A8","5","A8","control.big","untreated forager",1,1,1,3
"50-B1","5","B1","control.big","untreated forager",0,1,1,2
"50-B11","5","B11","control.big","untreated forager",1,1,0,2
"50-C10","5","C10","control.big","untreated nurse",1,1,0,2
"50-C11","5","C11","control.big","untreated nurse",1,1,0,2
"50-C12","5","C12","control.big","treated nurse",1,1,0,2
"50-D9","5","D9","control.big","untreated forager",1,1,0,2
"50-E10","5","E10","control.big","untreated forager",1,1,1,3
"50-E11","5","E11","control.big","untreated nurse",1,1,0,2
"50-E12","5","E12","control.big","untreated forager",1,1,0,2
"50-E2","5","E2","control.big","untreated forager",1,1,0,2
"50-F1","5","F1","control.big","untreated nurse",0,1,1,2
"50-F12","5","F12","control.big","untreated forager",1,1,1,3
"50-F7","5","F7","control.big","untreated nurse",1,1,0,2
"50-G11","5","G11","control.big","untreated nurse",0,1,1,2
"50-G2","5","G2","control.big","treated nurse",0,1,1,2
"50-H11","5","H11","control.big","untreated nurse",1,1,0,2
"50-H6","5","H6","control.big","untreated forager",0,1,1,2
"51-A1","6","A1","control.big","untreated forager",1,1,0,2
"51-A2","6","A2","control.big","untreated forager",0,1,1,2
"51-A3","6","A3","control.big","untreated forager",1,1,1,3
"51-A4","6","A4","control.big","untreated nurse",0,1,1,2
"51-B3","6","B3","control.big","untreated forager",1,1,0,2
"51-B4","6","B4","control.big","untreated forager",1,1,1,3
"51-B5","6","B5","control.big","untreated nurse",0,1,1,2
"51-C1","6","C1","control.big","treated nurse",0,1,1,2
"51-C2","6","C2","control.big","untreated nurse",1,1,0,2
"51-C3","6","C3","control.big","untreated nurse",1,1,0,2
"51-C5","6","C5","control.big","untreated nurse",1,1,0,2
"51-D1","6","D1","control.big","untreated forager",1,1,0,2
"51-D3","6","D3","control.big","untreated nurse",1,1,0,2
"51-E4","6","E4","control.big","untreated nurse",1,1,1,3
"51-F1","6","F1","control.big","untreated forager",1,1,0,2
"51-G1","6","G1","control.big","untreated forager",1,1,0,2
"51-G4","6","G4","control.big","untreated forager",1,1,0,2
"51-H2","6","H2","control.big","untreated forager",0,1,1,2
"51-H5","6","H5","control.big","untreated nurse",1,1,0,2
"54-A10","4","A8","control.big","untreated nurse",0,1,1,2
"54-A12","4","A10","control.big","untreated nurse",1,1,1,3
"54-A3","4","A1","control.big","untreated forager",0,1,1,2
"54-A4","4","A2","control.big","untreated forager",1,1,1,3
"54-A9","4","A7","control.big","untreated nurse",0,1,1,2
"54-B10","4","B8","control.big","untreated forager",0,1,1,2
"54-B11","4","B9","control.big","untreated forager",0,1,1,2
"54-B12","4","B10","control.big","untreated forager",0,1,1,2
"54-B3","4","B1","control.big","treated nurse",0,1,1,2
"54-B4","4","B2","control.big","untreated forager",0,1,1,2
"54-B5","4","B3","control.big","untreated forager",1,1,1,3
